cod;nome;período;valor
3;SE;1989;1971
1;N;1989;220
5;CO;1989;349
2;NE;1989;540
4;S;1989;1411
4;S;1990;1489
5;CO;1990;304
1;N;1990;196
2;NE;1990;647
3;SE;1990;2209
4;S;1991;1597
5;CO;1991;396
1;N;1991;247
2;NE;1991;764
3;SE;1991;2182
4;S;1992;1611
5;CO;1992;425
1;N;1992;247
2;NE;1992;727
3;SE;1992;2258
4;S;1993;1510
5;CO;1993;486
1;N;1993;256
2;NE;1993;847
3;SE;1993;2456
4;S;1994;1669
5;CO;1994;508
1;N;1994;242
2;NE;1994;924
3;SE;1994;2589
4;S;1995;1897
5;CO;1995;634
1;N;1995;270
2;NE;1995;1013
3;SE;1995;2780
1;N;1996;340
5;CO;1996;600
2;NE;1996;1045
4;S;1996;1939
3;SE;1996;2819
3;SE;1997;2934
5;CO;1997;598
1;N;1997;307
2;NE;1997;1073
4;S;1997;2011
4;S;1998;2151
5;CO;1998;535
1;N;1998;406
2;NE;1998;1055
3;SE;1998;2842
4;S;1999;2074
5;CO;1999;610
1;N;1999;289
2;NE;1999;1095
3;SE;1999;2462
4;S;2000;2034
5;CO;2000;728
1;N;2000;372
2;NE;2000;1133
3;SE;2000;2513
4;S;2001;2162
5;CO;2001;692
1;N;2001;439
2;NE;2001;1435
3;SE;2001;3010
4;S;2002;2047
5;CO;2002;792
1;N;2002;393
2;NE;2002;1546
3;SE;2002;2948
2;NE;2003;1620
5;CO;2003;763
3;SE;2003;3008
1;N;2003;437
4;S;2003;2033
2;NE;2004;1651
3;SE;2004;2984
4;S;2004;2151
1;N;2004;447
5;CO;2004;784
3;SE;2005;3211
5;CO;2005;771
1;N;2005;476
2;NE;2005;1896
4;S;2005;2196
4;S;2006;2131
5;CO;2006;764
1;N;2006;478
2;NE;2006;1961
3;SE;2006;3305
4;S;2007;2185
5;CO;2007;747
1;N;2007;542
2;NE;2007;2168
3;SE;2007;3226
4;S;2008;2245
5;CO;2008;857
1;N;2008;620
2;NE;2008;2202
3;SE;2008;3404
4;S;2009;2279
5;CO;2009;831
1;N;2009;593
2;NE;2009;2101
3;SE;2009;3570
4;S;2010;2154
5;CO;2010;812
1;N;2010;624
2;NE;2010;2123
3;SE;2010;3735
4;S;2011;2156
5;CO;2011;807
1;N;2011;692
2;NE;2011;2297
3;SE;2011;3900
1;N;2012;694
5;CO;2012;932
2;NE;2012;2336
4;S;2012;2357
3;SE;2012;4002
3;SE;2013;3959
5;CO;2013;956
1;N;2013;759
2;NE;2013;2494
4;S;2013;2365
4;S;2014;2319
5;CO;2014;950
1;N;2014;708
2;NE;2014;2393
3;SE;2014;4283
4;S;2015;2494
5;CO;2015;940
1;N;2015;881
2;NE;2015;2540
3;SE;2015;4323
4;S;2016;2602
5;CO;2016;1034
1;N;2016;826
2;NE;2016;2722
3;SE;2016;4249
4;S;2017;2862
5;CO;2017;1121
1;N;2017;896
2;NE;2017;2981
3;SE;2017;4635
4;S;2018;2891
5;CO;2018;1180
1;N;2018;991
2;NE;2018;2996
3;SE;2018;4675
2;NE;2019;3082
5;CO;2019;1283
3;SE;2019;4930
1;N;2019;1058
4;S;2019;3167
